state,gender,education,age,n
Hamburg,male,5,6,29120
Hamburg,male,5,7,19410
Hamburg,male,5,8,6880
Hessen,female,-1,1,0
Hessen,female,-1,2,0
Hessen,female,-1,3,0
Hessen,female,-1,4,0
Hessen,female,-1,5,0
Hessen,female,-1,6,0
Hessen,female,-1,7,0
Hessen,female,-1,8,0
Hessen,female,0,1,0
Hessen,female,0,2,0
Hessen,female,0,3,0
Hessen,female,0,4,0
Hessen,female,0,5,0
Hessen,female,0,6,0
Hessen,female,0,7,0
Hessen,female,0,8,0
Hessen,female,2,1,138310
Hessen,female,2,2,63330
Hessen,female,2,3,61360
Hessen,female,2,4,83860
Hessen,female,2,5,92340
Hessen,female,2,6,99320
Hessen,female,2,7,145160
Hessen,female,2,8,117280
Hessen,female,4,1,12980
Hessen,female,4,2,207650
Hessen,female,4,3,177740
Hessen,female,4,4,264510
Hessen,female,4,5,222510
Hessen,female,4,6,179340
Hessen,female,4,7,133070
Hessen,female,4,8,72340
Hessen,female,5,1,540
Hessen,female,5,2,79800
Hessen,female,5,3,133130
Hessen,female,5,4,150080
Hessen,female,5,5,108730
Hessen,female,5,6,58210
Hessen,female,5,7,30320
Hessen,female,5,8,15540
Hessen,male,-1,1,0
Hessen,male,-1,2,0
Hessen,male,-1,3,0
Hessen,male,-1,4,0
Hessen,male,-1,5,0
Hessen,male,-1,6,0
Hessen,male,-1,7,0
Hessen,male,-1,8,0
Hessen,male,0,1,0
Hessen,male,0,2,0
Hessen,male,0,3,0
Hessen,male,0,4,0
Hessen,male,0,5,0
Hessen,male,0,6,0
Hessen,male,0,7,0
Hessen,male,0,8,0
Hessen,male,2,1,143130
Hessen,male,2,2,74290
Hessen,male,2,3,53510
Hessen,male,2,4,67590
Hessen,male,2,5,53720
Hessen,male,2,6,45390
Hessen,male,2,7,41780
Hessen,male,2,8,20980
Hessen,male,4,1,12340
Hessen,male,4,2,217340
Hessen,male,4,3,173450
Hessen,male,4,4,249530
Hessen,male,4,5,212920
Hessen,male,4,6,166870
Hessen,male,4,7,147690
Hessen,male,4,8,57830
Hessen,male,5,1,30
Hessen,male,5,2,59120
Hessen,male,5,3,132610
Hessen,male,5,4,190770
Hessen,male,5,5,149750
