state,gender,education,age,n,incidence_rate,case_fatality_ratio,sub_national_hdi,health_index,income_index,educational_index
Brandenburg,female,2,4,10930,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,2,5,14280,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,2,6,17580,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,2,7,46320,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,2,8,40130,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,4,1,3570,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,4,2,87040,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,4,3,76830,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,4,4,119700,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,4,5,115240,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,4,6,80000,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,4,7,79840,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,4,8,34570,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,5,1,100,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,5,2,23380,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,5,3,42010,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,5,4,78360,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,5,5,78220,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,5,6,50020,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,5,7,33040,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,5,8,8360,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,2,1,37810,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,2,2,25680,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,2,3,11990,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,2,4,12780,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,2,5,12680,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,2,6,8330,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,2,7,15260,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,2,8,6250,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,4,1,2910,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,4,2,105400,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,4,3,89920,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,4,4,140260,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,4,5,125420,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,4,6,66860,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,4,7,61460,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,4,8,16910,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,5,1,30,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,5,2,13300,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,5,3,33470,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,5,4,61170,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,5,5,72050,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,5,6,62680,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
