state,gender,age,education,eher mehr,eher weniger,kein großer Unterschied,cohesion_c,n,incidence_rate,case_fatality_ratio,sub_national_hdi,health_index,income_index,educational_index
Hamburg,male,2,4,0,0,1,0,1,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,3,4,0,1,0,0,1,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,3,5,0,0,1,0,1,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,4,2,1,0,0,1,1,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,4,5,0,1,4,0,5,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,5,4,0,0,1,0,1,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,5,5,3,0,3,3,6,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,6,2,0,1,1,0,2,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,6,5,2,0,1,2,3,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,7,2,2,0,0,2,2,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hessen,female,2,4,1,0,0,1,1,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,female,2,5,1,0,0,1,1,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,female,3,2,0,0,1,0,1,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,female,3,4,0,0,1,0,1,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,female,3,5,0,1,2,0,3,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,female,4,2,0,1,4,0,5,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,female,4,5,1,1,4,1,6,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,female,5,2,1,1,3,1,5,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,female,5,4,1,0,2,1,3,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,female,5,5,0,3,3,0,6,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,female,6,2,2,2,1,2,5,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,female,6,4,1,0,0,1,1,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
